Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementVisible(findTestObject(""Homepage_Image/div_media13""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.677s,PASSED
"scrollToElement(findTestObject(""Homepage_Image/div_media14""), 5, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.594s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media14""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.531s,PASSED
"scrollToElement(findTestObject(""Homepage_Image/div_media15""), 5, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.455s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media15""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.507s,PASSED
"scrollToElement(findTestObject(""Homepage_Image/div_media16""), 5, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.416s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media16""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.560s,PASSED
closeBrowser(),Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,1.054s,PASSED
,,,,,,,
Test Cases/TC_005_Verify_Link,Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,22.704s,FAILED
"openBrowser("""")",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,1.738s,PASSED
"navigateToUrl(""https://www.att.com/"")",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,7.269s,PASSED
maximizeWindow(),Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.411s,PASSED
"scrollToElement(findTestObject(""Homepage_Image/div_media7""), 5)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.688s,PASSED
"headbandURL = getAttribute(findTestObject(""Link/a_Shop all phone deals""), ""href"", STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,6.383s,PASSED
"verifyEqual(headbandURL, ""https://www.att.com/deals/cell-phone-deals/"", STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.004s,PASSED
"scrollToElement(findTestObject(""Link/a_Find a store""), 5, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.877s,PASSED
"headbandURL = getAttribute(findTestObject(""Link/a_Find a store""), ""href"", STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,1.202s,PASSED
"verifyEqual(headbandURL, ""https://www.att.com/stores/"", STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.003s,PASSED
"headbandURL = getAttribute(findTestObject(""Link/a_Learn more1""), ""href"", STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.887s,PASSED
"verifyEqual(headbandURL, ""https://www.att.com/wireless/right-to-you/"", STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.004s,PASSED
"headbandURL = getAttribute(findTestObject(""Link/a_Learn more2""), ""href"", STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.607s,PASSED
"verifyEqual(headbandURL, ""https://www.att.com/wireless/delivery-and-shipping-options/"", STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.004s,PASSED
"scrollToElement(findTestObject(""Link/a_Learn more3""), 5, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.553s,PASSED
"headbandURL = getAttribute(findTestObject(""Link/a_Learn more3""), ""href"", STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.558s,PASSED
"verifyEqual(headbandURL, ""https://www.att.com/wireless/offers/discount-program/appreciation/"", STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.007s,FAILED
,,,,,,,
Test Cases/TC_006_Verify_Menu,Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,20.828s,PASSED
"openBrowser("""")",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,3.019s,PASSED
"navigateToUrl(""https://www.att.com/"")",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,5.547s,PASSED
maximizeWindow(),Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.431s,PASSED
"verifyElementVisible(findTestObject(""Menu/div_DealsWirelessInternetTVPrepaidBusiness""))",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,4.013s,PASSED
"verifyElementVisible(findTestObject(""Menu/span_Deals""))",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,1.575s,PASSED
"verifyElementVisible(findTestObject(""Menu/span_Wireless""))",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.940s,PASSED
"verifyElementVisible(findTestObject(""Menu/span_Internet""))",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.542s,PASSED
"verifyElementVisible(findTestObject(""Menu/span_Tv""))",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.630s,PASSED
"verifyElementVisible(findTestObject(""Menu/span_Prepaid""))",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.500s,PASSED
"verifyElementVisible(findTestObject(""Menu/span_Business""))",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.990s,PASSED
closeBrowser(),Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,1.303s,PASSED
